mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
174292747827.12357,1.1741753602761764e-09,2.1204042524563884,0.1409583664479585,1.0939170938812215,259.02217978045843,96934.55346040872,0.0013214637408752,SciPy,Timed Out,268.88976645469666
241194.6833509249,2.761764127998456e-08,2.879504484752313,0.0105810455852004,1.3016656271306106,296.8782880100805,86596.73221451357,0.0218318810205493,SciPy,Timed Out,266.33448338508606
590744393.2984252,1.8306486539125795e-09,2.600251238125267,0.0293483533103977,3.714086615508788,271.1133860778698,79915.57213170995,0.0041260588384184,SciPy,Timed Out,268.2108414173126
20056830.992011376,2.995276030070818e-09,2.6988121824871696,0.1548159275566518,5.302651557292932,285.11074501990464,79857.7671213592,0.0110967003700618,SciPy,Timed Out,269.08110427856445
2484930.216821581,1.7607401157559656e-09,2.0601531599332383,0.1385437592120431,2.5675546005011,248.69263385536905,82278.1959400409,0.0006420732792712,SciPy,Timed Out,270.9254846572876
11203285.473980747,1.576723638102611e-09,2.546756500219441,0.0976199337203912,1.3837552960482735,278.74208934233354,93744.26629457597,0.0060950290847951,SciPy,Timed Out,270.7898197174072
259118839.9003446,1.0540205889816135e-09,1.596642557742345,0.1324868630095399,0.0201658975918309,256.7542204960807,64822.21437128922,0.0016390386104557,SciPy,Timed Out,278.8461000919342
23195011.99812288,2.310458628468135e-09,2.2470212873377102,0.0691807257801868,0.1913400724029172,298.4809734758585,82438.56476044902,0.025376711256103,SciPy,Timed Out,270.4008548259735
23565457907.87242,1.561976241558133e-09,1.4125138648083857,0.0400085283579999,0.0245039095051141,291.37637570551544,74245.53000124381,0.0180557943066661,SciPy,Timed Out,278.5111756324768
223935994.2791385,1.4842303480217035e-09,2.9322512032323558,0.4151672071700272,0.4571358102293748,265.634965123536,53841.45366195173,0.0040455873650569,SciPy,Timed Out,270.8395459651947
28184589.540131982,4.388602020022334e-09,2.9386266336042106,0.0344700337982598,2.601761733722857,250.78461056665503,71542.32392896959,0.0008893900598422,SciPy,Timed Out,269.5437626838684
6946077.276838603,1.1032114288922475e-09,1.489176353206055,0.0695505798339373,0.1683696284472939,262.8469147896105,77983.62725127989,0.0022386757483068,SciPy,Timed Out,271.6737802028656
946516.9606235068,8.553628160504624e-06,2.8763073538672685,0.2335918603915597,0.0739258484216421,298.80399439494954,56105.82546658101,0.0387963503825919,PySDM,Timed Out,244.52078294754028
11302853267.078684,1.033010227833504e-09,1.7953694876891455,0.1333569442787267,0.0738212461067777,288.84703070639154,66381.16050895458,0.017180517381912,SciPy,Timed Out,271.86823630332947
41663.234295790935,5.217412600505857e-06,2.658144081204937,1.3275601428619168,0.2078759314369189,292.46282172822487,87849.4258291497,0.0162863533142769,PySDM,Timed Out,245.1613233089447
34018449.99288504,2.153171275574557e-09,2.149434608819702,0.0760452748945447,0.4439118742366057,306.975871413172,58868.43130156896,0.0611274791293391,SciPy,Timed Out,270.64226269721985
970331669.5394616,1.4193667825133312e-09,2.737886638127775,0.3189766553581358,5.555337150607942,298.5779596778005,100382.19388089776,0.0208130800407846,SciPy,Timed Out,271.0699639320373
4590243046.951289,1.221986427596549e-09,2.4858418042029564,0.1056577853394887,1.842422500759728,307.48016682098364,75936.23486313061,0.0477837490535747,SciPy,Timed Out,274.4612846374512
