simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate
64,113525317.82679558,1.8223194914888126e-09,1.6931717832090116,0.6130602791627869,0.1404919202402656,259.14691439864043,103592.8528107838,1,0.0012490709167996,259.1273862972951,103565.52008724306,348.77450543918474,1.025637874518769,258.69477222757746,102928.03922197752,0.0012424516146267,6.619633789419964e-06,2.6026112557226755,0.002,0.0
65,51875268.52578146,1.1579317783025326e-09,1.7023818314336836,0.7428053112416695,0.0108762848992524,297.7736449745834,86481.0657506733,1,0.0231116370052654,297.7714983368498,86478.88267046491,2440.0,1.0116530561483568,297.52441445035004,86214.43107421094,0.0231063359233926,5.301111784596855e-06,1.1685826178980951,0.0,0.0
66,2208422158.436897,9.619042690195609e-08,1.64493258581864,0.512651101223025,4.736624795480188,289.89115395108115,70639.60251758099,1,0.0172579662670804,289.8779639393392,70622.87412066096,4.0112951353314505,1.00359466110414,289.768257190574,70474.07529923014,0.0172248139001699,3.3183688193859644e-05,0.3935749109740039,0.993,286301775.35656667
67,15455187.609891066,2.1881498714679173e-07,1.7099348082528152,0.3057891203100515,2.276711726834984,296.7931235534631,56430.60982146424,1,0.0339593990245152,296.77357547042493,56417.38163770527,39.09146641227392,1.0233930384689776,296.1314645475632,55785.73185248031,0.0337705803128135,0.0001888340008749,2.375527183964765,1.0,54176.83809063937
68,6350782224.067782,5.0302982047921046e-08,1.686527023316285,1.1360797235711817,0.9916898325021936,250.51991709551515,63585.87676185421,1,0.0009777723621404,250.4609208820353,63524.62273256775,35.29329317785719,1.0015405720004171,250.2200804917325,63279.19539690933,0.0009583015685835,1.948471080096922e-05,0.1926870563855098,0.655,0.0
69,20576426.35229565,9.775467879188832e-08,1.7251034857952854,0.989052393159063,2.8638126886858104,275.1847582333203,60272.58731578934,1,0.0073936538904219,275.1652916579858,60257.56577806568,34.220115158778675,1.0313199603309142,274.38923653140387,59512.939345345534,0.0072931153702599,0.0001005444333381,3.168972693333161,1.0,0.0
70,3865178001.073585,1.3243379496962634e-08,1.6729325433705262,0.0717668063620721,1.4279277657263132,276.0967563788768,64482.91941331941,1,0.0073744240769701,276.07717081129886,64466.90250294749,15.406941813201405,1.0094018405090992,275.9043612978228,64305.72075754548,0.0073628567225296,1.1568126344795993e-05,0.9806407659598282,0.047,6812742.618622326
71,18190010.427375767,4.609394798869642e-09,1.7946877880753482,0.710509572250345,0.0356763409795865,285.35075925796565,51529.22456654578,1,0.0176522047444815,285.3437366043914,51524.78395593415,620.0,1.0089506592784574,285.1566185052156,51386.13287878512,0.0176323359801344,1.9869184994869764e-05,0.9084824360799716,0.022,0.0
72,15936190.590294806,7.701050389179252e-08,1.6730964615920536,0.0113658430739924,0.0231849373346561,259.10814489059754,78331.70433887595,1,0.0016477054554976,259.10361702816004,78326.9106896569,330.0,1.0038111255939677,259.03781977433727,78252.72555754872,0.0016461475856307,1.557982388246345e-06,0.3898392602935008,0.221,3028.8266623032764
73,1065374845.0605892,8.111852764513113e-08,1.672855294886877,0.2499818965577181,7.417719283526907,284.57524054810204,69430.27216241312,1,0.0123438003056732,284.5565764924557,69413.51597828261,3.7747451648893913,1.0084667658689572,284.35960228437347,69190.29107925172,0.0123136380225152,3.017307453968122e-05,0.8806652495969791,0.995,46827406.53487942
75,3187548855.272319,8.342999836289601e-08,1.762467725396994,0.6728301666588277,1.7166085915919225,294.6357705744358,96970.17199486756,1,0.0168867806877886,294.619629412379,96925.9601332036,11.068335608398687,1.001239786790414,294.54730493978803,96756.4433529367,0.0168526883114203,3.4122474890069966e-05,0.1536771775268341,0.835,356672856.7827366
76,15039073.442219265,1.1147711519548756e-09,1.6564468838884363,0.3702039499352266,4.907610425509494,269.629061945443,78015.77120191097,1,0.0037825644927664,269.60950983063765,77995.96276883074,68.87262245656132,1.1542327759996818,266.66667521450694,74700.92368781549,0.0036418469168135,0.0001407249218402,15.464216691116327,0.025,0.0
77,3894113344.117776,1.0399024952935117e-07,1.6353990384895325,0.1417288831805648,4.394286553876355,290.4056770703824,78412.1757579867,1,0.0160315759742504,290.3913064305679,78393.78763480592,3.41352340501508,1.0031525093661566,290.3068135477111,78270.83822963253,0.0160101931204397,2.1441804941952797e-05,0.3482270928805819,0.945,514190364.1790389
78,3198666333.257764,1.5302020697946535e-09,1.70905991004255,0.6496187005481758,0.0337215149665437,286.49283172079146,62570.52020040592,1,0.0156168047590241,286.48620046156816,62565.44889696776,1160.0,1.0197883084679067,286.117651397258,62278.560747392,0.0156130975928178,3.70722017327223e-06,2.0536398502894126,0.001,424266.3432318351
79,244992421.19727543,1.03449345265328e-08,1.7114751431374555,0.3255878277022091,7.131106335188694,307.366298085704,79689.48803520296,1,0.0450623184502046,307.34634693384635,79671.37612336273,9.395456588465974,1.02002221586615,306.84127442327906,79067.39652816113,0.0449868966061401,7.542594671238323e-05,2.033217835210399,0.489,1984753.3969538647
80,6162907699.689731,2.9244419186022357e-09,1.6330186442625996,0.5376526739311663,0.0290240969309631,284.57639470444167,94035.48163308974,1,0.0090675469132177,284.5707054117756,94028.89865648508,710.0,1.010374830265628,284.38077299998355,93803.8398745454,0.0090659199282907,1.627006930901214e-06,1.0881566716825164,0.001,538198.2023932227
81,1049216115.5171458,1.354345948159596e-07,1.7937116884997528,0.0972778404717912,1.5441430754636245,299.2609073067073,96655.3240372714,1,0.0225686976515732,299.246298540972,96633.53443384165,7.771300594277533,1.0023857027633023,299.1862837224686,96523.11622080588,0.0225533891687806,1.535385177849437e-05,0.2682211363834286,0.909,42312012.31305851
82,16619754.735444063,1.2176541123023e-08,1.6928307560862403,0.4108323373069151,0.1152285989160065,252.72683378522615,79024.50567962704,1,0.0009538389601215,252.70730852293568,79003.12868794063,208.28162648661788,1.01159379687484,252.5050788949276,78768.75931838498,0.0009496260650073,4.213110722863161e-06,1.2011609611766394,0.272,1758.8370438844747
83,1469104853.0155964,2.784993826275894e-07,1.657244433305028,0.3439366532988709,0.2624766820784557,280.2783223679162,79933.02572469783,1,0.007971147272495,279.92322122065224,79252.75963602446,3809.862240262184,1.0004450821238338,274.6765421832687,70320.52978731177,0.006100788574793,0.0018708761264441,0.0788049652299838,0.978,779866.9942317687
