simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac_product,act_rate,act_frac_S,act_frac_V,mode_wet_radius_mean,mode_wet_radius_stdev,,
63,2.92E+08,5.01E-06,1.596275987,0.761219062,0.026167257,307.8205327,101326.2109,1,0.035841582,307.8179081,101316.8613,229.2941924,1.000000408,307.8017803,101259.3512,0.03582726,285.6434533,4.46E-07,0.06774768,0,0.06774768,0,0.000307532,5.630572024,,
64,9.60E+09,1.77E-08,1.879678785,0.552036904,1.606103576,295.4985711,79681.93121,1,0.021828081,295.4888017,79672.64039,6.226248512,1.003142535,295.4214291,79589.59305,0.021819238,9.20E-06,0.003195602,0.182949778,7.79E+07,0.182949778,0.177840784,7.94E-08,14.41504454,,
65,3.88E+09,3.60E-08,1.720400567,1.120494008,0.047260153,306.2438144,103032.0874,1,0.032101447,306.2370312,103021.3317,105.7973732,1.000468552,306.221091,102976.0863,0.032092642,1.19E-05,0.000471916,0.05439233,5.13E+06,0.05439233,0.032193969,2.66E-07,8.595424651,,
66,7.97E+09,1.57E-06,1.603845349,0.280597245,3.697713323,261.7114047,102864.0208,1,0.001548726,261.7045855,102851.6378,5.67918553,1.000034175,261.5614975,102587.8753,0.001534381,6.308651941,3.45E-05,0.875248425,0,0.875248425,0,3.02E-05,5.727935969,,
67,2.28E+08,2.24E-09,1.805241732,1.464843539,4.914398726,273.8124526,81464.91111,1,0.004937004,273.8026711,81454.72085,21.36578773,1.045318847,272.8984982,80396.76545,0.004893364,4.36E-05,0.045361306,0.145090634,0,0.145090634,0.145090634,2.84E-08,89.9682568,,
68,3.76E+07,2.80E-06,1.663194267,0.750686473,0.075044579,304.2011047,94711.75608,1,0.031069535,304.1980988,94702.81707,199.8811945,1.000022539,304.1499806,94548.17129,0.031031818,4.036992459,2.26E-05,0.995253508,0,0.995253508,0,0.00012701,6.536010159,,
69,8.51E+07,4.25E-09,1.785927835,0.969215353,0.084051965,290.5891416,98011.11767,1,0.012911864,290.579322,97999.52054,261.7428395,1.007907546,290.409602,97758.67732,0.012900176,1.17E-05,0.007956482,0.01755538,0,0.01755538,0.01755538,2.84E-08,50.23605549,,
70,2.30E+09,8.79E-08,1.789115156,0.853837794,0.183285035,254.5502716,71397.32656,1,0.001235011,254.5420422,71388.11658,512.8623842,1.00043648,253.7856086,70491.92769,0.001172215,0.000156519,0.000437457,0.301417465,0,0.301417465,0,7.71E-07,8.988063134,,
71,1.96E+09,3.79E-08,1.874244337,0.758215144,0.022593469,265.9311136,77901.11954,1,0.002855435,265.9231419,77891.56065,221.3028934,1.000544147,265.8951286,77851.67704,0.002850848,7.26E-06,0.0005452,0.057272848,0,0.057272848,0,2.12E-07,11.31994077,,
72,5.98E+09,7.65E-09,1.663906108,0.670363894,0.037447988,301.5976691,99030.7499,1,0.025364233,301.58779,99019.39101,160.2222277,1.00227559,301.5455624,98964.25474,0.025362178,2.06E-06,0.002286761,0.001152914,52508.16366,0.001152914,0.001152914,2.68E-08,13.97075502,,
73,3.93E+07,1.01E-08,1.785184379,0.608568283,0.011523191,272.5837779,55867.88699,1,0.006601566,272.5739886,55860.86143,694.2521174,1.003278033,272.5149674,55811.77009,0.006596566,5.00E-06,0.003316592,0.022498786,0,0.022498786,0.022498786,6.04E-08,31.20710333,,
74,5.27E+08,2.08E-09,1.999338365,0.60326674,4.681593554,256.6792369,80830.73455,1,0.001305522,256.6694726,80819.96774,22.64186303,1.053983829,255.7012424,79695.25028,0.001285623,1.99E-05,0.054166899,0.086155176,0,0.086155176,0.08886834,1.17E-08,104.2771463,,
75,1.44E+07,5.61E-08,1.672753247,0.61524102,1.652873273,260.5095692,68104.02985,1,0.002125599,260.4998022,68095.08834,53.24062132,1.032814313,259.7369314,67313.54727,0.00208606,3.96E-05,0.03282652,0.999973507,48.57445543,0.999973507,0.999931501,6.80E-06,3.134516361,,
76,6.30E+07,1.64E-08,1.579749423,1.46093758,0.025031284,250.5042877,79724.46625,1,0.00077852,250.4945269,79713.58811,239.7000506,1.003427935,250.4477982,79659.63838,0.00077794,5.81E-07,0.003443958,0.167550077,29160.96772,0.167550077,0.167550077,1.59E-07,12.17877144,,
77,6.35E+09,2.48E-06,1.736959131,1.203808211,1.480225598,280.3373515,69696.45359,1,0.009196827,280.3329199,69689.05477,6.080154275,1.000003106,280.2898995,69616.94493,0.009177175,1372.171434,3.32E-06,0.496597083,0,0.496597083,0,0.000128238,7.69311212,,
78,1.41E+08,8.93E-08,1.634185873,0.919599386,8.245054526,256.9808971,97350.39407,1,0.001111268,256.9711398,97337.44534,12.12848256,1.03637856,256.1025759,96069.14843,0.001084341,2.89E-05,0.036402409,1,625392.6955,1,0.961993755,4.79E-06,1.501950932,,
79,1.91E+08,1.52E-08,1.985913392,1.236486533,0.078777845,269.9536444,85532.65138,1,0.003533477,269.9438878,85521.81192,76.16354615,1.002751045,269.9006062,85468.58986,0.003531828,1.67E-06,0.002755066,0.174044782,203645.5729,0.174044782,0.171707636,1.04E-07,20.53000753,,
80,3.13E+07,8.52E-06,1.645408407,0.5697569,0.09320835,282.9446264,94851.28419,1,0.008050053,282.9404022,94841.44186,139.4724831,1.000009042,282.8824742,94704.31788,0.008028786,245.0521071,9.39E-06,0.999644648,0,0.999644648,0,0.000564839,6.297922771,,
